filename;left;top
pdp10ki10_size=2500_Hintergrund.png;0; 0
pdp10ki10_size=2500_black.png;69; 35
pdp10ki10_size=2500_frame.png;66; 32
pdp10ki10_size=2500_background.png;0; 0
pdp10ki10_size=2500_org_picture.png;0; 0
pdp10ki10_size=2500_background_buttons_row11.png;892; 991
pdp10ki10_size=2500_background_buttons_row10.png;158; 884
pdp10ki10_size=2500_background_buttons_row9.png;785; 776
pdp10ki10_size=2500_background_lamps_row8.png;195; 729
pdp10ki10_size=2500_background_lamps_row7.png;1126; 691
pdp10ki10_size=2500_background_lamps_row6.png;200; 663
pdp10ki10_size=2500_background_lamps_row5.png;201; 596
pdp10ki10_size=2500_background_lamps_row4.png;173; 532
pdp10ki10_size=2500_sw_DEPOSIT_NEXT_down_on.png;2152; 1006
pdp10ki10_size=2500_sw_DEPOSIT_NEXT_down_off.png;2154; 1006
pdp10ki10_size=2500_sw_DEPOSIT_NEXT_up_on.png;2153; 1001
pdp10ki10_size=2500_sw_DEPOSIT_NEXT_up_off.png;2152; 1002
pdp10ki10_size=2500_sw_DEPOSIT_THIS_down_on.png;2096; 1005
pdp10ki10_size=2500_sw_DEPOSIT_THIS_down_off.png;2095; 1006
pdp10ki10_size=2500_sw_DEPOSIT_THIS_up_on.png;2095; 1002
pdp10ki10_size=2500_sw_DEPOSIT_THIS_up_off.png;2094; 1001
pdp10ki10_size=2500_sw_EXAMINE_NEXT_down_on.png;1983; 1005
pdp10ki10_size=2500_sw_EXAMINE_NEXT_down_off.png;1982; 1006
pdp10ki10_size=2500_sw_EXAMINE_NEXT_up_on.png;1982; 1000
pdp10ki10_size=2500_sw_EXAMINE_NEXT_up_off.png;1982; 1000
pdp10ki10_size=2500_sw_EXAMINE_THIS_down_on.png;1926; 1004
pdp10ki10_size=2500_sw_EXAMINE_THIS_down_off.png;1927; 1004
pdp10ki10_size=2500_sw_EXAMINE_THIS_up_on.png;1925; 1001
pdp10ki10_size=2500_sw_EXAMINE_THIS_up_off.png;1925; 1000
pdp10ki10_size=2500_sw_XCT_down_on.png;1869; 1005
pdp10ki10_size=2500_sw_XCT_down_off.png;1869; 1005
pdp10ki10_size=2500_sw_XCT_up_on.png;1868; 1001
pdp10ki10_size=2500_sw_XCT_up_off.png;1868; 1001
pdp10ki10_size=2500_sw_RESET_down_on.png;1811; 1005
pdp10ki10_size=2500_sw_RESET_down_off.png;1812; 1006
pdp10ki10_size=2500_sw_RESET_up_on.png;1812; 1002
pdp10ki10_size=2500_sw_RESET_up_off.png;1811; 1002
pdp10ki10_size=2500_sw_STOP_down_on.png;1754; 1005
pdp10ki10_size=2500_sw_STOP_down_off.png;1755; 1005
pdp10ki10_size=2500_sw_STOP_up_on.png;1754; 1002
pdp10ki10_size=2500_sw_STOP_up_off.png;1754; 1002
pdp10ki10_size=2500_sw_CONT_down_on.png;1698; 1005
pdp10ki10_size=2500_sw_CONT_down_off.png;1698; 1005
pdp10ki10_size=2500_sw_CONT_up_on.png;1696; 1002
pdp10ki10_size=2500_sw_CONT_up_off.png;1696; 1002
pdp10ki10_size=2500_sw_START_down_on.png;1640; 1006
pdp10ki10_size=2500_sw_START_down_off.png;1641; 1006
pdp10ki10_size=2500_sw_START_up_on.png;1640; 1002
pdp10ki10_size=2500_sw_START_up_off.png;1640; 1002
pdp10ki10_size=2500_sw_READ_IN_down_on.png;1583; 1006
pdp10ki10_size=2500_sw_READ_IN_down_off.png;1584; 1006
pdp10ki10_size=2500_sw_READ_IN_up_on.png;1584; 1002
pdp10ki10_size=2500_sw_READ_IN_up_off.png;1582; 1002
pdp10ki10_size=2500_sw_ADDRESS_BREAK_down_on.png;1469; 1004
pdp10ki10_size=2500_sw_ADDRESS_BREAK_down_off.png;1469; 1005
pdp10ki10_size=2500_sw_ADDRESS_BREAK_up_on.png;1469; 1000
pdp10ki10_size=2500_sw_ADDRESS_BREAK_up_off.png;1469; 1000
pdp10ki10_size=2500_sw_ADDRESS_STOP_down_on.png;1413; 1005
